NSN,Item Name
"""5130-01-574-9906""","""BLADE,RECIPROCATING SAW"""
"""5180-01-608-0761""","""SET OF 9 EXAGONAL S"""
"""5130-01-353-4392""","""BIT,SCREWDRIVER"""
"""3895-01-666-8116""","""FOAM KNEE BOARD"""
"""5120-01-671-3885""","""WRENCH,BOX AND OPEN END,COMBINAT"""
"""5130-01-447-7873""","""ROLLER,AIRCRAFT SEAT"""
"""5133-01-672-5169""","""DRILL,TWIST"""
"""5140-01-671-8334""","""ROLL,TOOLS AND ACCESSORIES"""
"""5340-01-089-9028""","""CAP,PROTECTIVE,DUST AND MOISTURE"""
"""5120-01-671-2560""","""JOINTER,BRICK"""
"""5130-01-633-1430""","""SHEARS,METAL CUTTING,ELECTRIC"""
"""5140-01-671-7995""","""PANEL,INSERT,TOOL BOX"""
"""5120-01-671-7953""","""BENDER,ELECTRICAL CONDUIT,HAND"""
"""5120-01-661-9230""","""SUSPENDERS,TOOL BELT"""
"""5120-01-671-8328""","""KNIFE,PUTTY"""
"""5110-01-590-1169""","""FILE,HAND"""
"""5130-01-672-0594""","""BLADE,RECIPROCATING SAW"""
"""5120-01-671-7955""","""BENDER,ELECTRICAL CONDUIT,HAND"""
"""5120-01-671-7951""","""BENDER,ELECTRICAL CONDUIT,HAND"""
"""5110-01-587-9540""","""CHISEL,BUTT,WOODWORKING"""
"""5133-01-671-4977""","""DRILL,TWIST"""
"""5133-01-671-4347""","""BIT,AUGER"""
"""5110-01-590-1182""","""CHISEL,BUTT,WOODWORKING"""
"""5130-01-671-8010""","""SANDER,FINISHING,ELECTRIC,PORTAB"""
"""5130-01-587-6470""","""BIT,SCREWDRIVER"""
"""3895-01-673-9368""","""MIXER,CONCRETE,BASE MOUNTED"""
"""4930-01-672-7534""","""BUCKET PIPE THREADER OILER"""
"""5130-01-057-5633""","""NO ITEM NAME AVAILABLE"""
"""5133-01-672-5167""","""DRILL,TWIST"""
"""3230-01-670-8215""","""BLADE,JIG SAW,WOODWORKING"""
"""5140-01-671-7384""","""ROLL,TOOLS AND ACCESSORIES"""
"""5120-01-671-2556""","""TROWEL"""
"""5340-01-408-8455""","""SOCKET,PLUG-IN ELECTRONIC COMPON"""
