NSN,Item Name
"""5130-01-671-7971""","""CONTACT ELEMENT,PNEUMATIC NAILER"""
"""5410-01-662-2880""","""BELT,TOOL,REPAIRMAN'S"""
"""5110-01-652-4291""","""STRIPPER,CABLE,HAND"""
"""5120-01-650-3033""","""SOCKET,SOCKET WRENCH"""
"""5120-01-671-3987""","""PLIERS"""
"""5110-01-057-4406""","""BLADE,KNIFE"""
"""5133-01-671-6727""","""DRILL,MASONRY,ROTARY DRIVEN"""
"""5133-01-671-4347""","""BIT,AUGER"""
"""5133-01-671-6724""","""BIT,AUGER"""
"""5120-01-654-0383""","""PLIERS"""
"""5140-01-671-7979""","""PANEL,INSERT,TOOL BOX"""
"""5210-01-587-8188""","""SQUARE,T,DRYWALL"""
"""5120-01-671-7952""","""BENDER,ELECTRICAL CONDUIT,HAND"""
"""5130-01-680-0517""","""BUSHING,SLEEVE"""
"""5120-01-588-0080""","""ADAPTER,TROWEL"""
"""5130-01-672-0592""","""BLADE,RECIPROCATING SAW"""
"""5120-01-660-1243""","""GUN,STAPLE"""
"""5133-01-017-8309""","""BIT,SPADE,WOOD BORING"""
"""5140-01-671-7481""","""ROLL,TOOLS AND ACCESSORIES"""
"""5130-01-671-8017""","""ROUTER,ELECTRIC,PORTABLE"""
"""5120-01-671-3038""","""STRETCHER,MASONRY LINE"""
"""5130-01-671-6115""","""BLADE,CIRCULAR SAW,WOODCUTTING"""
"""5120-01-567-4330""","""HOLDER,SCREWDRIVER BIT"""
"""5130-01-672-0605""","""BLADE,RECIPROCATING SAW"""
"""5120-01-671-2559""","""JOINTER,BRICK"""
"""5120-01-661-5815""","""HOLDER,HAMMER"""
"""3230-01-670-8409""","""BLADE,JIG SAW,WOODWORKING"""
"""4730-01-670-5143""","""COUPLING HALF,QUICK DISCONNECT"""
"""5440-01-631-5697""","""LADDER,THREE-WAY COMBINATION"""
"""5130-01-473-4733""","""DECAL"""
"""5120-01-587-9997""","""BROOM,CEMENT FINISHING"""
"""5120-01-671-2566""","""WRENCH,PLIER"""
"""5133-01-671-5568""","""DRILL,MASONRY,ROTARY DRIVEN"""
"""5120-01-473-9631""","""SCREWDRIVER,FLAT TIP"""
"""5925-01-645-4909""","""LOCKING DEVICE,CIRCUIT BREAKER"""
"""5130-01-672-0585""","""BLADE,RECIPROCATING SAW"""
"""5133-01-671-4974""","""BIT,SPADE,WOOD BORING"""
"""5110-01-661-1876""","""SAW,KEYHOLE"""
"""5130-01-596-1420""","""BLADE,RECIPROCATING SAW"""
"""5140-01-671-7958""","""CARRIER,TOOL"""
"""7510-00-281-5224""","""NO ITEM NAME AVAILABLE"""
"""5120-01-654-1789""","""WRENCH,PLIER"""
"""5120-01-660-8736""","""PLIERS,SLIP JOINT"""
"""5130-01-671-8026""","""SAW,CIRCULAR,PORTABLE,ELECTRIC"""
"""5130-01-672-1051""","""BLADE,RECIPROCATING SAW"""
"""5140-01-661-7637""","""POUCH,MECHANIC'S TOOLS"""
"""5120-01-026-5565""","""TWIG,MASONRY LINE"""
"""5130-01-671-7970""","""NAILER,PNEUMATIC,PORTABLE"""
"""5210-01-179-4913""","""TAPE,MEASURING"""
"""5210-01-365-0081""","""LEVEL AND PLUMB"""
"""5133-01-671-4346""","""BIT,SPADE,WOOD BORING"""
"""5120-01-672-5170""","""BROOM,CEMENT FINISHING"""
"""5120-01-604-3484""","""BIT,SCREWDRIVER"""
"""5110-01-672-4922""","""BLADE,HAND HACKSAW"""
"""5140-01-671-9024""","""CASE,TOOL AND ACCESSORIES"""
"""5133-01-671-6724""","""BIT,AUGER"""
"""5120-01-648-4570""","""PLIERS,SLIP JOINT"""
"""5130-01-444-8514""","""GRINDER,PORTABLE"""
"""5110-01-652-0387""","""CHISEL,COLD,HAND"""
"""5120-01-669-9455""","""POWER SUPPLY"""
"""5110-01-563-9472""","""FILE,HAND"""
"""5110-01-587-6686""","""KNIFE,CRAFTSMAN'S"""
"""5130-00-541-3475""","""BLADE,RECIPROCATING SAW"""
"""5120-01-662-3809""","""HAMMER,HAND"""
"""5120-01-400-2734""","""PLIERS,SLIP JOINT"""
"""5133-01-671-6119""","""BIT,AUGER"""
"""6133-01-671-5568""","""DRILL,MASONRY,ROTARY DRIVEN"""
"""5120-01-652-0283""","""BIT,SCREWDRIVER"""
"""5120-01-428-8606""","""KEY,SOCKET HEAD SCREW"""
"""5315-01-669-7792""","""NAIL"""
"""4730-01-672-6270""","""STRAINER ELEMENT,SEDIMENT"""
"""5140-01-672-3968""","""BAG,TOOL"""
"""6625-01-053-4187""","""INDICATOR,PHASE SEQUENCE"""
"""5110-01-648-8490""","""CHISEL,COLD,HAND"""
"""5130-01-587-6673""","""BLADE,JIG SAW,WOODWORKING"""
"""5133-01-671-6118""","""BIT,AUGER"""
"""5110-01-590-1175""","""CHISEL,BUTT,WOODWORKING"""
"""5210-01-589-7976""","""SQUARE,CARPENTER''S"""
"""5133-01-174-9039""","""DRILL,TWIST"""
"""5120-01-671-3648""","""WRENCH,BOX AND OPEN END,COMBINAT"""
"""5140-01-671-7967""","""ROLL,TOOLS AND ACCESSORIES"""
"""5210-01-671-7378""","""DIVIDERS,MECHANICS'"""
"""5133-01-671-4344""","""DRILL,TWIST"""
"""5130-01-664-8150""","""BLADE,RECIPROCATING SAW"""
"""5120-01-482-8552""","""DIGITAL,MC&G PRODUCTS"""
"""5130-01-671-9375""","""WHEEL,ABRASIVE"""
"""5120-01-589-7984""","""HOLDER,SCREWDRIVER"""
